"Step","Apr27_00-00-40_g1 - Episode/terrain_level","Apr27_00-00-40_g1 - Episode/terrain_level__MIN","Apr27_00-00-40_g1 - Episode/terrain_level__MAX","Apr26_21-08-25_g1 - Episode/terrain_level","Apr26_21-08-25_g1 - Episode/terrain_level__MIN","Apr26_21-08-25_g1 - Episode/terrain_level__MAX","Apr25_21-00-24_g1 - Episode/terrain_level","Apr25_21-00-24_g1 - Episode/terrain_level__MIN","Apr25_21-00-24_g1 - Episode/terrain_level__MAX"
"18","2.506124","2.506124","2.506124","2.506124","2.506124","2.506124","2.506124","2.506124","2.506124"
"50","2.2968547","2.2968547","2.2968547","2.3170574","2.3170574","2.3170574","2.309784","2.309784","2.309784"
"82","1.8308716","1.8308716","1.8308716","1.8349407","1.8349407","1.8349407","1.8326925","1.8326925","1.8326925"
"114","1.5512187","1.5512187","1.5512187","1.5871887","1.5871887","1.5871887","1.5806072","1.5806072","1.5806072"
"146","1.2418112","1.2418112","1.2418112","1.2509563","1.2509563","1.2509563","1.2513021","1.2513021","1.2513021"
"178","0.9790548","0.9790548","0.9790548","1.0300192","1.0300192","1.0300192","1.0246685","1.0246685","1.0246685"
"210","0.7725729","0.7725729","0.7725729","0.796051","0.796051","0.796051","0.79369104","0.79369104","0.79369104"
"242","0.5686137","0.5686137","0.5686137","0.62387085","0.62387085","0.62387085","0.6095581","0.6095581","0.6095581"
"274","0.42470297","0.42470297","0.42470297","0.45439658","0.45439658","0.45439658","0.4420573","0.4420573","0.4420573"
"306","0.28651938","0.28651938","0.28651938","0.33595785","0.33595785","0.33595785","0.32029217","0.32029217","0.32029217"
"338","0.19207764","0.19207764","0.19207764","0.22150676","0.22150676","0.22150676","0.21072388","0.21072388","0.21072388"
"370","0.12451172","0.12451172","0.12451172","0.15119426","0.15119426","0.15119426","0.14274089","0.14274089","0.14274089"
"402","0.078175865","0.078175865","0.078175865","0.09398397","0.09398397","0.09398397","0.085510254","0.085510254","0.085510254"
"434","0.049336754","0.049336754","0.049336754","0.061014812","0.061014812","0.061014812","0.05327352","0.05327352","0.05327352"
"466","0.027486166","0.027486166","0.027486166","0.0362854","0.0362854","0.0362854","0.03172811","0.03172811","0.03172811"
"498","0.01550293","0.01550293","0.01550293","0.022837322","0.022837322","0.022837322","0.02033488","0.02033488","0.02033488"
"530","0.007670085","0.007670085","0.007670085","0.014709473","0.014709473","0.014709473","0.012207031","0.012207031","0.012207031"
"562","0.004231771","0.004231771","0.004231771","0.010050456","0.010050456","0.010050456","0.006378174","0.006378174","0.006378174"
"594","0.0019734702","0.0019734702","0.0019734702","0.0061035156","0.0061035156","0.0061035156","0.00386556","0.00386556","0.00386556"
"626","0.0006917318","0.0006917318","0.0006917318","0.0038146973","0.0038146973","0.0038146973","0.0023498535","0.0023498535","0.0023498535"
"658","0.00048828125","0.00048828125","0.00048828125","0.0022176108","0.0022176108","0.0022176108","0.0012308757","0.0012308757","0.0012308757"
"690","0.00048828125","0.00048828125","0.00048828125","0.0013936361","0.0013936361","0.0013936361","0.00061035156","0.00061035156","0.00061035156"
